# k_value  z_plot  Normalized_Delta  Gamma
1.000000000000000021e-03 1.000000000000000000e+01 1.158145144950164102e-01 5.454602459574523499e-01
1.000000000000000021e-03 9.898989898989899672e+00 1.168868545149969324e-01 5.456952643876394893e-01
1.000000000000000021e-03 9.797979797979797567e+00 1.179792338003221308e-01 5.456280201133321128e-01
1.000000000000000021e-03 9.696969696969697239e+00 1.190922100841653314e-01 5.454479734616654030e-01
1.000000000000000021e-03 9.595959595959595134e+00 1.202263611166623641e-01 5.453376252691441994e-01
1.000000000000000021e-03 9.494949494949494806e+00 1.213822845461259570e-01 5.454791302210468817e-01
1.000000000000000021e-03 9.393939393939394478e+00 1.225606333495191103e-01 5.455118430710611532e-01
1.000000000000000021e-03 9.292929292929292373e+00 1.237620650712062120e-01 5.454521299336371198e-01
1.000000000000000021e-03 9.191919191919192045e+00 1.249872595977064571e-01 5.453698462151673754e-01
1.000000000000000021e-03 9.090909090909091717e+00 1.262369099792880200e-01 5.455106924560447768e-01
1.000000000000000021e-03 8.989898989898989612e+00 1.275117803144165118e-01 5.455063150038512720e-01
1.000000000000000021e-03 8.888888888888889284e+00 1.288126394342566372e-01 5.453918732517025747e-01
1.000000000000000021e-03 8.787878787878787179e+00 1.301402736032270524e-01 5.453776254670954504e-01
1.000000000000000021e-03 8.686868686868686851e+00 1.314955103224428323e-01 5.455250779339120282e-01
1.000000000000000021e-03 8.585858585858586522e+00 1.328792441153116011e-01 5.455197665611037916e-01
1.000000000000000021e-03 8.484848484848484418e+00 1.342923793889355122e-01 5.453973550966255690e-01
1.000000000000000021e-03 8.383838383838384090e+00 1.357358332891044628e-01 5.454631547703355787e-01
1.000000000000000021e-03 8.282828282828283761e+00 1.372105992481595094e-01 5.455924471301588641e-01
1.000000000000000021e-03 8.181818181818181657e+00 1.387177302808968449e-01 5.455374754277225735e-01
1.000000000000000021e-03 8.080808080808081328e+00 1.402582967891551347e-01 5.453649189637125305e-01
1.000000000000000021e-03 7.979797979797979224e+00 1.418333807123697832e-01 5.454514820675120390e-01
1.000000000000000021e-03 7.878787878787878896e+00 1.434441791752754380e-01 5.455428935159074566e-01
1.000000000000000021e-03 7.777777777777777679e+00 1.450919402562886873e-01 5.454702940747093720e-01
1.000000000000000021e-03 7.676767676767676463e+00 1.467779399763178283e-01 5.453165065494408603e-01
1.000000000000000021e-03 7.575757575757576134e+00 1.485034691515785266e-01 5.454656806411518621e-01
1.000000000000000021e-03 7.474747474747474918e+00 1.502699772080328677e-01 5.455503350341934787e-01
1.000000000000000021e-03 7.373737373737373701e+00 1.520789544289056772e-01 5.454700242126205856e-01
1.000000000000000021e-03 7.272727272727273373e+00 1.539319186674640016e-01 5.454282354034405422e-01
1.000000000000000021e-03 7.171717171717171269e+00 1.558304753534146547e-01 5.455013236291768042e-01
1.000000000000000021e-03 7.070707070707070940e+00 1.577763563873076091e-01 5.454790956572003191e-01
